"","retentions"
"ALL",0.0165595168517436
"ARA",0.235135135135135
"CHI",0.252016129032258
"DEU",0.318940137389598
"EBR",0.179268292682927
"ENG",0.317174515235457
"ESC",0.238716148445336
"ESP",0.310907903331156
"FAR",0.346534653465347
"FRA",0.284116331096197
"GLE",0.271186440677966
"GRK",0.253968253968254
"HEB",0.295918367346939
"HIN",0.234234234234234
"ITA",0.290017211703959
"JPN",0.321538461538462
"KOR",0.318181818181818
"NED",0.231707317073171
"POL",0.32089552238806
"POR",0.335548172757475
"RUS",0.29683698296837
"SVE",0.185770750988142
"TGL",0.131868131868132
"TUR",0.336734693877551
"VIE",0.188118811881188
